company_id,company_name,alert_reason
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BANKBARODA,Bank of Baroda,High Debt
BEL,Bharat Electronics Ltd,High Debt
BEL,Bharat Electronics Ltd,High Debt
BEL,Bharat Electronics Ltd,High Debt
BEL,Bharat Electronics Ltd,High Debt
BHARTIARTL,Bharti Airtel Ltd,High Debt
BHARTIARTL,Bharti Airtel Ltd,High Debt
BHARTIARTL,Bharti Airtel Ltd,High Debt
BHARTIARTL,Bharti Airtel Ltd,High Debt
BHARTIARTL,Bharti Airtel Ltd,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CANBK,Canara Bank,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
HDFCBANK,HDFC Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
ICICIBANK,ICICI Bank Ltd,High Debt
