company_id,year,issue,category,explanation
JINDALSTEL,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,TTM,pat_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
JINDALSTEL,TTM,pat_cagr_10yr_flag,TURNAROUND,CAGR edge case handled and documented
JINDALSTEL,TTM,eps_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
JINDALSTEL,TTM,eps_cagr_10yr_flag,TURNAROUND,CAGR edge case handled and documented
JIOFIN,2023-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
JIOFIN,TTM,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
JIOFIN,TTM,revenue_cagr_3yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,revenue_cagr_5yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,revenue_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,pat_cagr_3yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,pat_cagr_5yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,pat_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,eps_cagr_3yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,eps_cagr_5yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JIOFIN,TTM,eps_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
JSWENERGY,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWENERGY,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWENERGY,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWENERGY,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWENERGY,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWENERGY,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWSTEEL,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWSTEEL,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWSTEEL,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JSWSTEEL,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JSWSTEEL,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2019-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
LICI,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2020-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
LICI,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2021-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
LICI,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2022-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
LICI,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
LICI,2024-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
LICI,TTM,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
LICI,TTM,revenue_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
LICI,TTM,pat_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
LICI,TTM,eps_cagr_3yr_flag,INSUFFICIENT,CAGR edge case handled and documented
