id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_pct,earnings_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_sign,cfi_sign,cff_sign,capital_allocation_label,source_roce_percentage,source_roe_percentage,broad_sector,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,score_roe,score_opm,score_debt,score_icr,score_fcf,composite_quality_score
,BAJAJ-AUTO,2016-03,17.989722689820148,21.23239124656685,28.96576319543509,31.73008912151648,23.55568445475638,0.008416547788873038,0,5987.0,Covered,0,-10949.0,1.3093967517401393,3622.0,68.0,0.3,Asset Light,75.57,140.0,39.0,118.0,3690.0,+,-,-,Reinvestor,33.5,26.5,Consumer Discretionary,,,,,,,,,,,,,,,,,,,3.8,High Quality,5.917198995936889,38.12986672066386,99.99746942152814,97.6100686082966,34.55944681196949,50.66
,HEROMOTOCO,2016-03,10.935797870471237,84.45373721755631,35.22752999773602,260.2029560997132,24.13151364764268,0.026262168892913742,0,57.12351543942993,Covered,0,-4269.0,2.2066532258064515,1422.0,2300.0,8.08,Capital Intensive,5.92,157.0,46.0,232.0,3722.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.950189500162587,78.92127584418199,99.99210383153617,43.72414480839139,33.920795643237845,50.61
,COALINDIA,2016-03,18.323679377351947,75.96486045645446,40.95828668216921,156.30828152753108,12.563402606551602,0.034421382022794475,0,9.963125105236571,Covered,0,-1707.0,0.6856375484325467,21308.0,8154.0,10.47,Capital Intensive,36.03,23.0,121.0,1199.0,13154.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.980382344863347,73.4441187282907,99.98965062511333,43.29558930533179,39.69362161660028,50.61
,HINDUNILVR,2015-03,13.68697610409108,83.07268860252721,108.66650111745717,644.6683046683047,30.325710325710325,0.010677924012912838,0,21.312750601443465,Covered,0,-2982.0,2.2156618156618157,3430.0,138.0,0.43,Asset Light,12.91,20.0,74.0,43.0,3292.0,+,+,-,Liquidating Assets,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.337107244554763,78.0302015051293,99.99678950024297,43.39872552684305,34.50370998269836,50.6
,COALINDIA,2014-03,21.402673917969636,74.83854520734195,35.63814734459013,119.40726128411066,14.400884331700622,0.0041977171964908975,0,7.374389733575115,Covered,0,-3597.0,0.6728544473879815,23105.0,8580.0,12.15,Capital Intensive,43.72,24.0,121.0,178.0,14525.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.9523528629552676,72.71740237287352,99.99873788481514,43.27206497099891,40.215283503059716,50.57
,HEROMOTOCO,2017-03,12.394267738552953,83.9741349178609,34.373788290034895,222.39765528977972,23.15830721003135,0.025300504071345483,0,28.965060240963854,Covered,0,-5805.0,1.8684691745036572,2035.0,1972.0,6.89,Moderate,8.47,179.0,47.0,261.0,4007.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.9456915093710405,78.61182887934778,99.99239297244709,43.468263530746185,34.09874708252534,50.55
,HEROMOTOCO,2018-03,11.467126748413333,83.56645511122065,31.089208152355496,217.61475409836066,21.39449330344312,0.019044437019712663,0,48.12056737588652,Covered,0,-7441.0,1.8657239753980572,2159.0,1858.0,5.72,Moderate,7.96,186.0,51.0,228.0,4017.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.928386496531543,78.34878744091195,99.99427396558069,43.642333294342194,34.13474378476295,50.52
,COALINDIA,2022-03,15.839219796746114,77.46889668687052,40.27999907285075,172.67719741946544,9.684790120154261,0.08145006142363767,0,21.99120538023797,Covered,0,-5407.0,0.6114436344992086,15392.0,25715.0,23.44,Capital Intensive,18.11,28.0,60.0,3514.0,41107.0,+,-,-,Reinvestor,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.976808744799985,74.41454661572682,99.97551065149976,43.40489077541223,37.976230564683746,50.48
,HINDUNILVR,2016-03,12.896911700739452,81.63797924563475,63.15228966986155,384.0444444444445,28.06056918812952,0.026928343222272933,0,54.10288065843621,Covered,0,-2415.0,2.175758804840127,3889.0,282.0,0.88,Asset Light,14.8,19.0,83.0,177.0,4171.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.097312817119447,77.10450440944908,99.9919035348755,43.6966957213725,34.63695584017464,50.43
,COALINDIA,2021-03,14.109257325661476,79.3081998533757,34.78284681526918,159.61511249469365,7.886942645497388,0.16112602004490936,0,19.085783003741316,Covered,0,-66.0,0.5589906302972351,10774.0,182.0,0.2,Asset Light,15.09,21.0,78.0,5884.0,10592.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.947846659415967,75.60129401590908,99.95155471722957,43.378488645588085,36.63564370231888,50.43
